Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
7541,203252,ŞİLE SANAYİ,29.633459,41.15714796,Sile,ÇAYIRBASI KÖYÜ,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0556249999906 41.03891800056),
7542,203261,DOSTLAR SİTESİ,29.409532,41.203894,Sile,ÜSKÜDAR,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0556579975425 41.0180179786471),
7543,203262,DOSTLAR SİTESİ,29.40941903,41.20384102,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0556610237366 41.0603999740789),
7544,203271,KUM FABRİKASI,29.352353,41.186347,Sile,ÜSKÜDAR,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0556610283676 41.1146629847155),
7545,203272,KUM FABRİKASI,29.35248496,41.18623296,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0556668145818 40.984581494378),
7546,203281,NEVZAT AYAZ ANADOLU LİSESİ,29.10508396,41.03055696,Ümraniye,K KARABEKIR,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0557179999906 41.0331200005591),
7547,203282,NEVZAT AYAZ ANADOLU LİSESİ,29.105056,41.030459,Ümraniye,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0557450005429 41.1149029639841),
7548,203301,KANDIRA KÖYÜ SAPAĞI,29.852591,41.127108,Sile,SILE,YOK,AÇIK,İETTCAMLI,Uygun Degil,29.0557719999906 41.0331840005591),
7549,203302,KANDIRA KÖYÜ SAPAĞI,29.852682,41.126999,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0557789999908 40.9918020005525),
7550,203311,60.YIL SARIGAZİ ORTAOKULU,29.215814,41.005856,Sancaktepe,SULTANBEYLI,VAR,KAPALI,CCMODERNDR,Uygun Degil,29.0557889999907 41.0064260005549),
7551,203312,60.YIL SARIGAZİ ORTAOKULU,29.216044,41.005916,Sancaktepe,ÜSKÜDAR,YOK,AÇIK,İETTÜÇGEN,Uygun Degil,29.0557960023991 41.1803939903887),
7552,203321,YAVUZ YILMAZ SOKAK,29.1125,41.115539,Beykoz,BEYKOZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.05580000001 41.041799999115),
7553,203331,ÇENGELDERE SAPAĞI,29.13747898,41.08762101,Beykoz,BEYKOZ,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0558299329558 41.0307716809764),
7554,203332,ÇENGELDERE SAPAĞI ,29.137465,41.08774,Beykoz,ÇAVUSBASI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.055846990561 41.1393360134674),
7555,203333,ÇENGELDERE SAPAĞI,29.137353,41.087478,Beykoz,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0558739962095 40.9983609238419),
7556,203334,ÇENGELDERE SAPAĞI,29.13751334,41.08747486,Beykoz,BEYKOZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0558787763391 41.041754753338),
7557,203341,MERAL SOKAK,29.257856,41.019869,Sancaktepe,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0559349566427 41.1421839871734),
7558,203342,MERAL SOKAK,29.25779196,41.01994496,Sancaktepe,YENIDOGAN,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0559469562237 41.0176029982865),
7559,203361,CEMİL MERİÇ ANADOLU LİSESİ,29.280836,40.992963,Sultanbeyli,MIMAR SINAN MAH.,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0559529999906 41.0493590005617),
7560,203362,CEMİL MERİÇ ANADOLU LİSESİ,29.280939,40.992667,Sultanbeyli,ÜMRANIYE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0559601134211 40.98476387016),
7561,203371,SULTANBEYLİ ÇOK PROGRAMLI ANADOLU LİSESİ,29.28171,40.989245,Sultanbeyli,SON DURAK,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0559769999908 40.9808060005507),
7562,203381,AHMET YAVUZ İLKOKULU,29.106341,41.041075,Ümraniye,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0559892630282 41.0820136254638),
7563,203382,AHMET YAVUZ İLKOKULU,29.106304,41.040773,Ümraniye,KURAN KURSU,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0560919744227 41.0148090191662),
7564,203391,KAYA SOKAK,29.104248,41.039322,Ümraniye,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun,29.0561039995374 41.2356199804071),
7565,203392,KAYA SOKAK,29.104462,41.039452,Ümraniye,KURAN KURSU,YOK,AÇIK,İETTBAYRAK,Uygun,29.0561377405028 40.8810673607302),
