HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
132YM,YEŞİLTEPE-MARMARA EĞİTİM KÖYÜ,132YM/YEŞİLTEPE-MARMARA EĞİTİM KÖYÜ,1,Anadolu2,118.88
132Z,SULTANBEYLİ UZUNDERE - KARTAL,132Z/SULTANBEYLİ UZUNDERE - KARTAL,1,Anadolu2,120.11
133A,AYDINLI BAHÇELER - KARTAL,133A/AYDINLI BAHÇELER - KARTAL,1,Anadolu2,114.85
133AK,TEPEÖREN - KARTAL,133AK/TEPEÖREN - KARTAL,1,Anadolu2,111.77
133F,ACARLAR SİTESİ - MALTEPE / CEVİZLİ PERONLAR,133F/ACARLAR SİTESİ - MALTEPE / CEVİZLİ PERONLAR,1,Anadolu1,102.5
133G,GÜLENSU MAHALLESİ - KARTAL,133G/GÜLENSU MAHALLESİ - KARTAL,1,Anadolu1,64.6
133GP,GÖÇBEYLİ - KARTAL,133GP/GÖÇBEYLİ - KARTAL,1,Anadolu2,172.38
133K,KURTKÖY SANAYİ MAHALLESİ / KAVAKPINAR - KARTAL,133K/KURTKÖY SANAYİ MAHALLESİ / KAVAKPINAR - KARTAL,1,Anadolu2,103.64
133KT,AYDINLI TOKİ KONUTLARI - KARTAL,133KT/AYDINLI TOKİ KONUTLARI - KARTAL,1,Anadolu2,93.96
133M,TUZLA ORGANİZE SANAYİ - KAFKALE TUZLA SAHİL,133M/TUZLA ORGANİZE SANAYİ - KAFKALE TUZLA SAHİL,1,Anadolu2,145.44
133N,MALTEPE ÜNİVERSİTESİ - MALTEPE METRO / KARTAL,133N/MALTEPE ÜNİVERSİTESİ - MALTEPE METRO / KARTAL,1,Anadolu1,94.67
